FlightID(航班ID),Flight Date(航班日期),Flight,Departure Airport(起飞机场),Arrival Airport(降落机场),Planned Departure Time(计划起飞时间),Planned Arrival Time(计划降落时间),AircraftID(飞机ID),Aircraft Type(机型),Number of Passengers(旅客数),Number of Seats(座位数),Importance Factors(重要系数)
102349679,43159,8169,AIRPORT_311,AIRPORT_129,723,798,AC_118,TYPE_B,151,164,1
102370970,43159,8777,AIRPORT_50,AIRPORT_196,724,805,AC_97,TYPE_B,149,164,1
102344292,43159,8719,AIRPORT_171,AIRPORT_155,726,825,AC_61,TYPE_A,103,132,1
102380107,43159,8913,AIRPORT_196,AIRPORT_226,726,847,AC_68,TYPE_B,131,164,1
102321834,43159,8533,AIRPORT_184,AIRPORT_195,730,860,AC_81,TYPE_A,130,132,1
102357100,43159,8358,AIRPORT_98,AIRPORT_263,730,935,AC_132,TYPE_B,160,164,1
102373545,43159,8782,AIRPORT_248,AIRPORT_50,731,845,AC_70,TYPE_B,151,164,1
102321457,43159,8567,AIRPORT_263,AIRPORT_311,735,860,AC_95,TYPE_C,183,194,1
102338247,43159,8221,AIRPORT_150,AIRPORT_196,737,796,AC_14,TYPE_B,157,164,1
102324781,43159,8583,AIRPORT_44,AIRPORT_184,737,828,AC_12,TYPE_B,152,164,1
102340047,43159,8242,AIRPORT_281,AIRPORT_145,737,808,AC_84,TYPE_A,110,132,1
102396494,43159,8901,AIRPORT_292,AIRPORT_171,742,858,AC_56,TYPE_A,128,132,1
102314607,43159,8422,AIRPORT_35,AIRPORT_107,744,835,AC_107,TYPE_B,161,164,1
102343031,43159,8725,AIRPORT_283,AIRPORT_196,744,859,AC_129,TYPE_C,181,189,1
102373745,43159,8799,AIRPORT_258,AIRPORT_45,745,865,AC_130,TYPE_C,183,189,1
102375310,43159,8811,AIRPORT_258,AIRPORT_68,750,814,AC_22,TYPE_B,163,164,1
102346614,43159,8181,AIRPORT_98,AIRPORT_268,751,919,AC_111,TYPE_C,193,194,1
102358411,43159,8839,AIRPORT_195,AIRPORT_119,753,911,AC_67,TYPE_B,162,164,1
102311896,43159,8873,AIRPORT_59,AIRPORT_315,753,886,AC_161,TYPE_C,172,194,1
102381407,43159,8908,AIRPORT_281,AIRPORT_108,753,832,AC_80,TYPE_A,107,132,1
102318172,43159,8512,AIRPORT_247,AIRPORT_295,754,894,AC_85,TYPE_A,127,132,1
102344926,43159,8729,AIRPORT_192,AIRPORT_98,757,917,AC_151,TYPE_C,144,189,1
102312154,43159,8870,AIRPORT_291,AIRPORT_57,759,924,AC_106,TYPE_C,181,194,1
102328532,43159,8664,AIRPORT_177,AIRPORT_50,760,877,AC_83,TYPE_A,95,132,1
102318903,43159,8513,AIRPORT_50,AIRPORT_311,762,852,AC_64,TYPE_A,125,132,1
102336872,43159,8695,AIRPORT_57,AIRPORT_171,762,880,AC_55,TYPE_A,130,132,2
102379420,43159,8878,AIRPORT_119,AIRPORT_126,763,939,AC_11,TYPE_B,159,164,1
102364752,43159,8818,AIRPORT_171,AIRPORT_167,764,862,AC_63,TYPE_A,95,132,1
102390326,43159,8986,AIRPORT_198,AIRPORT_283,764,841,AC_100,TYPE_B,141,164,1
102388661,43159,8972,AIRPORT_214,AIRPORT_50,765,903,AC_109,TYPE_C,178,194,5
102381869,43159,8900,AIRPORT_126,AIRPORT_159,765,893,AC_9,TYPE_B,142,164,1
102318490,43159,8517,AIRPORT_106,AIRPORT_158,765,873,AC_24,TYPE_C,191,194,1
102389631,43159,8963,AIRPORT_57,AIRPORT_214,768,912,AC_112,TYPE_C,191,194,2
102358098,43159,8318,AIRPORT_303,AIRPORT_44,770,947,AC_89,TYPE_C,180,194,1
102325449,43159,8595,AIRPORT_290,AIRPORT_26,771,897,AC_156,TYPE_C,157,189,1
102338827,43159,8252,AIRPORT_167,AIRPORT_50,773,853,AC_18,TYPE_B,156,164,1
102329507,43159,8652,AIRPORT_215,AIRPORT_57,780,841,AC_76,TYPE_A,69,132,1
102358278,43159,8850,AIRPORT_228,AIRPORT_268,783,884,AC_72,TYPE_C,189,194,1
102333494,43159,8698,AIRPORT_171,AIRPORT_57,784,882,AC_77,TYPE_A,121,132,1
102343117,43159,8732,AIRPORT_35,AIRPORT_57,784,902,AC_25,TYPE_C,182,194,1
102393510,43159,8998,AIRPORT_86,AIRPORT_108,786,869,AC_144,TYPE_C,188,189,1
102320463,43159,8532,AIRPORT_62,AIRPORT_268,786,823,AC_91,TYPE_C,157,194,1
102390615,43159,8977,AIRPORT_57,AIRPORT_261,786,960,AC_123,TYPE_B,105,164,2
102383222,43159,8905,AIRPORT_57,AIRPORT_306,790,935,AC_37,TYPE_B,149,164,2
102331911,43159,8670,AIRPORT_232,AIRPORT_57,790,922,AC_92,TYPE_B,132,164,1
102337699,43159,8220,AIRPORT_283,AIRPORT_50,792,869,AC_78,TYPE_A,120,132,1
102397297,43159,8131,AIRPORT_158,AIRPORT_281,794,917,AC_98,TYPE_B,156,164,1
102352107,43159,8085,AIRPORT_57,AIRPORT_197,795,1039,AC_86,TYPE_D,185,245,2
102324595,43159,8600,AIRPORT_171,AIRPORT_95,797,902,AC_79,TYPE_A,108,132,1
102392066,43159,8967,AIRPORT_150,AIRPORT_50,802,879,AC_96,TYPE_B,159,164,1
102318542,43159,8525,AIRPORT_269,AIRPORT_143,805,946,AC_145,TYPE_B,147,158,1
102396410,43159,8285,AIRPORT_50,AIRPORT_149,807,1012,AC_153,TYPE_B,159,164,1
102343410,43159,8733,AIRPORT_57,AIRPORT_35,809,932,AC_160,TYPE_C,189,194,2
102322292,43159,8553,AIRPORT_50,AIRPORT_269,812,1029,AC_133,TYPE_B,139,164,1
102366300,43159,8831,AIRPORT_50,AIRPORT_206,817,948,AC_8,TYPE_C,189,194,1
102367611,43159,8745,AIRPORT_50,AIRPORT_35,826,934,AC_117,TYPE_C,193,194,1
102350855,43159,603,AIRPORT_57,AIRPORT_80,830,1299,AC_51,TYPE_D,225,301,2
102346550,43159,8116,AIRPORT_126,AIRPORT_95,832,890,AC_30,TYPE_A,90,132,1
102314709,43159,8438,AIRPORT_248,AIRPORT_290,833,967,AC_58,TYPE_A,130,132,1
102377708,43159,8887,AIRPORT_57,AIRPORT_206,833,968,AC_87,TYPE_D,221,245,10
102375831,43159,8884,AIRPORT_206,AIRPORT_57,834,984,AC_125,TYPE_D,250,274,5
102319492,43159,8530,AIRPORT_150,AIRPORT_107,835,981,AC_143,TYPE_B,156,164,1
102379258,43159,8895,AIRPORT_289,AIRPORT_57,835,884,AC_73,TYPE_B,164,164,1
102374107,43159,8783,AIRPORT_50,AIRPORT_248,841,944,AC_140,TYPE_C,184,189,1
102364232,43159,8822,AIRPORT_292,AIRPORT_50,842,935,AC_21,TYPE_B,102,164,1
102373647,43159,8793,AIRPORT_35,AIRPORT_50,845,946,AC_16,TYPE_C,182,194,1
102366475,43159,8838,AIRPORT_286,AIRPORT_150,853,937,AC_142,TYPE_B,150,164,1
102385736,43159,8951,AIRPORT_50,AIRPORT_108,854,922,AC_116,TYPE_C,185,194,1
102328991,43159,8651,AIRPORT_57,AIRPORT_215,854,915,AC_82,TYPE_A,110,132,2
102376748,43159,8879,AIRPORT_290,AIRPORT_50,854,927,AC_69,TYPE_B,158,164,1
102351805,43159,8019,AIRPORT_108,AIRPORT_192,855,933,AC_105,TYPE_C,191,194,1
102385562,43159,8928,AIRPORT_192,AIRPORT_145,858,928,AC_134,TYPE_B,110,164,1
102352295,43159,8007,AIRPORT_50,AIRPORT_263,859,996,AC_159,TYPE_B,163,164,1
102354651,43159,8319,AIRPORT_57,AIRPORT_290,859,919,AC_28,TYPE_A,128,132,2
102397220,43159,8939,AIRPORT_57,AIRPORT_269,861,1050,AC_154,TYPE_B,151,158,2
102345669,43159,8170,AIRPORT_129,AIRPORT_311,862,928,AC_118,TYPE_B,123,164,1
102345933,43159,8093,AIRPORT_57,AIRPORT_230,863,1132,AC_119,TYPE_B,125,164,2
102367803,43159,8765,AIRPORT_192,AIRPORT_228,863,1022,AC_141,TYPE_C,185,189,1
102357258,43159,8316,AIRPORT_88,AIRPORT_107,864,915,AC_122,TYPE_B,144,164,1
102391022,43159,8969,AIRPORT_77,AIRPORT_228,866,1004,AC_155,TYPE_B,146,158,1
102311525,43159,8813,AIRPORT_57,AIRPORT_293,869,989,AC_104,TYPE_C,191,194,2
102369276,43159,8759,AIRPORT_50,AIRPORT_269,871,1112,AC_19,TYPE_B,140,164,1
102362403,43159,8864,AIRPORT_45,AIRPORT_290,874,1073,AC_149,TYPE_B,163,164,1
102320727,43159,8532,AIRPORT_268,AIRPORT_57,878,987,AC_91,TYPE_C,175,194,1
102367011,43159,8778,AIRPORT_196,AIRPORT_50,883,977,AC_97,TYPE_B,148,164,1
102332278,43159,8662,AIRPORT_150,AIRPORT_57,886,947,AC_7,TYPE_B,158,164,1
102344877,43159,8720,AIRPORT_155,AIRPORT_171,893,961,AC_61,TYPE_A,121,132,1
102340337,43159,8242,AIRPORT_145,AIRPORT_289,893,1035,AC_84,TYPE_A,114,132,1
102364604,43159,8837,AIRPORT_150,AIRPORT_286,895,980,AC_102,TYPE_B,150,164,1
102371322,43159,8812,AIRPORT_68,AIRPORT_258,897,949,AC_22,TYPE_B,152,164,1
102363522,43159,8826,AIRPORT_119,AIRPORT_281,901,1095,AC_113,TYPE_B,150,164,1
102389564,43159,8973,AIRPORT_50,AIRPORT_214,902,1023,AC_10,TYPE_C,193,194,1
102347602,43159,8118,AIRPORT_195,AIRPORT_150,904,1049,AC_126,TYPE_B,155,164,1
102381920,43159,8908,AIRPORT_108,AIRPORT_50,906,992,AC_80,TYPE_A,117,132,1
102338809,43159,8221,AIRPORT_196,AIRPORT_86,906,1001,AC_14,TYPE_B,149,164,1
102380453,43159,8914,AIRPORT_226,AIRPORT_196,907,1036,AC_68,TYPE_B,137,164,1
102346744,43159,8107,AIRPORT_150,AIRPORT_59,907,1046,AC_15,TYPE_B,160,164,1
102319334,43159,8514,AIRPORT_311,AIRPORT_50,909,998,AC_64,TYPE_A,120,132,1
102322135,43159,8534,AIRPORT_195,AIRPORT_184,910,1031,AC_81,TYPE_A,123,132,1
102327574,43159,8617,AIRPORT_57,AIRPORT_109,910,1048,AC_121,TYPE_C,178,194,2
102354897,43159,8353,AIRPORT_145,AIRPORT_26,913,1022,AC_66,TYPE_B,145,164,1
102365504,43159,8818,AIRPORT_167,AIRPORT_150,913,952,AC_63,TYPE_A,129,132,1
102355861,43159,8256,AIRPORT_135,AIRPORT_63,915,1061,AC_60,TYPE_A,122,134,1
102337323,43159,8208,AIRPORT_242,AIRPORT_258,915,1058,AC_5,TYPE_B,146,164,1
102325099,43159,8584,AIRPORT_184,AIRPORT_44,915,998,AC_12,TYPE_B,158,164,1
102344110,43159,8726,AIRPORT_196,AIRPORT_283,923,1021,AC_129,TYPE_C,187,189,1
102361144,43159,8843,AIRPORT_57,AIRPORT_258,925,1039,AC_138,TYPE_C,188,189,2
102333379,43159,8704,AIRPORT_248,AIRPORT_57,925,1047,AC_139,TYPE_C,184,189,1
102369327,43159,8776,AIRPORT_171,AIRPORT_184,929,1040,AC_74,TYPE_A,122,132,1
102346562,43159,8116,AIRPORT_95,AIRPORT_57,932,995,AC_30,TYPE_A,123,132,1
102332867,43159,8696,AIRPORT_171,AIRPORT_57,934,1039,AC_56,TYPE_A,129,132,1
102395860,43159,8099,AIRPORT_57,AIRPORT_166,935,1438,AC_50,TYPE_D,254,301,2
102322500,43159,8568,AIRPORT_311,AIRPORT_263,937,1049,AC_95,TYPE_C,192,194,1
102358562,43159,8850,AIRPORT_268,AIRPORT_50,940,1041,AC_72,TYPE_C,183,194,1
102393594,43159,8998,AIRPORT_108,AIRPORT_57,941,1045,AC_144,TYPE_C,186,189,1
102360404,43159,8848,AIRPORT_119,AIRPORT_44,941,1108,AC_6,TYPE_B,160,164,1
102375855,43159,8873,AIRPORT_315,AIRPORT_98,942,995,AC_161,TYPE_C,174,194,1
102388587,43159,8967,AIRPORT_50,AIRPORT_68,944,1094,AC_96,TYPE_B,160,164,1
102396525,43159,8902,AIRPORT_171,AIRPORT_292,945,1045,AC_55,TYPE_A,113,132,1
102386512,43159,8957,AIRPORT_150,AIRPORT_259,946,1091,AC_114,TYPE_B,114,164,1
102381269,43159,8915,AIRPORT_57,AIRPORT_250,947,1092,AC_90,TYPE_C,186,194,2
102318442,43159,8512,AIRPORT_295,AIRPORT_290,947,1024,AC_85,TYPE_A,125,132,1
102395561,43159,8173,AIRPORT_57,AIRPORT_195,949,1072,AC_76,TYPE_A,130,132,2
102322170,43159,8542,AIRPORT_247,AIRPORT_268,952,1134,AC_157,TYPE_C,188,189,1
102339933,43159,8253,AIRPORT_57,AIRPORT_232,954,1060,AC_77,TYPE_A,128,132,2
102383257,43159,8911,AIRPORT_57,AIRPORT_107,955,1093,AC_36,TYPE_C,193,194,2
102324883,43159,8600,AIRPORT_95,AIRPORT_290,956,1026,AC_79,TYPE_A,85,132,1
102339118,43159,8252,AIRPORT_50,AIRPORT_107,958,1075,AC_18,TYPE_B,161,164,1
102346650,43159,8145,AIRPORT_57,AIRPORT_27,959,1146,AC_38,TYPE_B,151,164,2
102349238,43159,8140,AIRPORT_14,AIRPORT_57,960,1174,AC_62,TYPE_A,118,132,1
102382157,43159,8900,AIRPORT_159,AIRPORT_247,960,1035,AC_9,TYPE_B,121,164,1
102377206,43159,8886,AIRPORT_206,AIRPORT_57,965,1114,AC_35,TYPE_C,174,194,5
102358713,43159,8840,AIRPORT_119,AIRPORT_195,966,1117,AC_120,TYPE_B,157,164,1
102390716,43159,8965,AIRPORT_57,AIRPORT_214,966,1100,AC_162,TYPE_C,193,194,2
102356623,43159,8325,AIRPORT_59,AIRPORT_86,974,1034,AC_99,TYPE_B,159,164,1
102335582,43159,8711,AIRPORT_57,AIRPORT_299,975,1040,AC_108,TYPE_C,187,194,2
102359173,43159,8853,AIRPORT_150,AIRPORT_293,977,1122,AC_150,TYPE_C,181,189,1
102316857,43159,8515,AIRPORT_215,AIRPORT_50,981,1048,AC_82,TYPE_A,112,132,1
102390830,43159,8986,AIRPORT_283,AIRPORT_57,985,1081,AC_100,TYPE_B,158,164,1
102386642,43159,8930,AIRPORT_228,AIRPORT_108,986,1151,AC_115,TYPE_B,142,164,1
102316896,43159,8518,AIRPORT_158,AIRPORT_106,991,1093,AC_24,TYPE_C,186,194,1
102385783,43159,8928,AIRPORT_145,AIRPORT_57,992,1116,AC_134,TYPE_B,160,164,1
102347154,43159,8182,AIRPORT_268,AIRPORT_98,993,1161,AC_111,TYPE_C,141,194,1
102379300,43159,8895,AIRPORT_57,AIRPORT_206,996,1135,AC_73,TYPE_B,145,164,2
102385378,43159,8954,AIRPORT_269,AIRPORT_44,997,1199,AC_127,TYPE_B,158,164,1
102317278,43159,8526,AIRPORT_143,AIRPORT_269,1000,1088,AC_145,TYPE_B,150,158,1
102390182,43159,8964,AIRPORT_214,AIRPORT_57,1004,1165,AC_112,TYPE_C,180,194,5
102333961,43159,8705,AIRPORT_57,AIRPORT_248,1006,1133,AC_25,TYPE_C,183,194,2
102354936,43159,8319,AIRPORT_290,AIRPORT_73,1007,1095,AC_28,TYPE_A,124,132,1
102368167,43159,8746,AIRPORT_35,AIRPORT_50,1008,1106,AC_117,TYPE_C,158,194,1
102377299,43159,8879,AIRPORT_50,AIRPORT_98,1010,1121,AC_69,TYPE_B,161,164,1
102334566,43159,8700,AIRPORT_163,AIRPORT_258,1013,1855,AC_131,TYPE_D,253,274,1
102341541,43159,8730,AIRPORT_98,AIRPORT_192,1015,1140,AC_151,TYPE_C,188,189,1
102370891,43159,8761,AIRPORT_150,AIRPORT_285,1019,1162,AC_142,TYPE_B,160,164,1
102374663,43159,8784,AIRPORT_248,AIRPORT_50,1022,1131,AC_140,TYPE_C,169,189,1
102348003,43159,8201,AIRPORT_150,AIRPORT_214,1024,1173,AC_63,TYPE_A,129,132,1
102343992,43159,8734,AIRPORT_35,AIRPORT_57,1026,1137,AC_160,TYPE_C,189,194,1
102360078,43159,8841,AIRPORT_57,AIRPORT_269,1027,1230,AC_124,TYPE_B,155,164,2
102326290,43159,8596,AIRPORT_26,AIRPORT_290,1027,1162,AC_156,TYPE_C,179,189,1
102374151,43159,8793,AIRPORT_50,AIRPORT_126,1028,1119,AC_16,TYPE_C,186,194,1
102371613,43159,8812,AIRPORT_258,AIRPORT_57,1028,1167,AC_22,TYPE_B,161,164,1
102348790,43159,8205,AIRPORT_150,AIRPORT_35,1028,1126,AC_20,TYPE_B,155,164,1
102341224,43159,8743,AIRPORT_57,AIRPORT_35,1028,1150,AC_7,TYPE_B,162,164,2
102377505,43159,8875,AIRPORT_107,AIRPORT_268,1029,1152,AC_107,TYPE_B,161,164,5
102331932,43159,8670,AIRPORT_57,AIRPORT_150,1030,1095,AC_92,TYPE_B,154,164,2
102346073,43159,8170,AIRPORT_311,AIRPORT_107,1031,1175,AC_118,TYPE_B,141,164,1
102379441,43159,8878,AIRPORT_126,AIRPORT_57,1032,1128,AC_11,TYPE_B,154,164,1
102371919,43159,8778,AIRPORT_50,AIRPORT_290,1037,1095,AC_97,TYPE_B,152,164,1
102366875,43159,8832,AIRPORT_206,AIRPORT_50,1037,1182,AC_8,TYPE_C,186,194,5
