"
Airport ID(机场ID)",TYPE_A,TYPE_B,TYPE_C,TYPE_D
AIRPORT_26,40,45,45,65
AIRPORT_81,40,45,45,65
AIRPORT_35,50,60,60,75
AIRPORT_108,50,60,60,75
AIRPORT_123,40,45,45,65
AIRPORT_159,40,45,45,65
AIRPORT_196,45,50,50,70
AIRPORT_242,40,45,45,65
AIRPORT_315,40,45,45,65
AIRPORT_248,50,60,60,75
AIRPORT_312,40,45,45,65
AIRPORT_44,50,60,60,75
AIRPORT_283,50,60,60,75
AIRPORT_173,40,45,45,65
AIRPORT_117,40,45,45,65
AIRPORT_287,40,45,45,65
AIRPORT_299,40,45,45,65
AIRPORT_98,50,60,60,75
AIRPORT_247,45,50,50,70
AIRPORT_71,40,45,45,65
AIRPORT_92,40,45,45,65
AIRPORT_126,40,45,45,65
AIRPORT_129,40,45,45,65
AIRPORT_311,45,50,50,70
AIRPORT_95,40,45,45,65
AIRPORT_292,40,45,45,65
AIRPORT_290,50,60,60,75
AIRPORT_273,40,45,45,65
AIRPORT_307,40,45,45,65
AIRPORT_313,40,45,45,65
AIRPORT_31,40,45,45,65
AIRPORT_69,40,45,45,65
AIRPORT_67,40,45,45,65
AIRPORT_132,40,45,45,65
AIRPORT_167,40,45,45,65
AIRPORT_170,40,45,45,65
AIRPORT_150,50,60,60,75
AIRPORT_246,40,45,45,65
AIRPORT_252,40,45,45,65
AIRPORT_280,40,45,45,65
AIRPORT_291,50,60,60,75
AIRPORT_59,40,45,45,65
AIRPORT_145,45,50,50,70
AIRPORT_73,40,45,45,65
AIRPORT_88,40,45,45,65
AIRPORT_86,45,50,50,70
AIRPORT_130,40,45,45,65
AIRPORT_152,40,45,45,65
AIRPORT_107,50,60,60,75
AIRPORT_128,40,45,45,65
AIRPORT_136,40,45,45,65
AIRPORT_137,40,45,45,65
AIRPORT_134,40,45,45,65
AIRPORT_258,45,50,50,70
AIRPORT_165,40,45,45,65
AIRPORT_174,40,45,45,65
AIRPORT_192,40,45,45,65
AIRPORT_195,50,60,60,75
AIRPORT_198,40,45,45,65
AIRPORT_106,40,45,45,65
AIRPORT_214,50,60,60,75
AIRPORT_250,50,60,60,75
AIRPORT_135,40,45,45,65
AIRPORT_218,40,45,45,65
AIRPORT_236,40,45,45,65
AIRPORT_227,50,60,60,75
AIRPORT_267,40,45,45,65
AIRPORT_279,40,45,45,65
AIRPORT_285,40,45,45,65
AIRPORT_284,40,45,45,65
AIRPORT_281,40,45,45,65
AIRPORT_293,40,45,45,65
AIRPORT_306,40,45,45,65
AIRPORT_298,40,45,45,65
AIRPORT_304,40,45,45,65
AIRPORT_301,40,45,45,65
AIRPORT_121,40,45,45,65
AIRPORT_30,40,45,45,65
AIRPORT_50,50,60,60,75
AIRPORT_64,40,45,45,65
AIRPORT_63,40,45,45,65
AIRPORT_96,40,45,45,65
AIRPORT_158,45,50,50,70
AIRPORT_7,40,45,45,65
AIRPORT_138,40,45,45,65
AIRPORT_142,40,45,45,65
AIRPORT_171,40,45,45,65
AIRPORT_176,40,45,45,65
AIRPORT_184,40,45,45,65
AIRPORT_190,40,45,45,65
AIRPORT_177,40,45,45,65
AIRPORT_133,40,45,45,65
AIRPORT_253,40,45,45,65
AIRPORT_57,50,60,60,75
AIRPORT_286,40,45,45,65
AIRPORT_289,40,45,45,65
AIRPORT_295,40,45,45,65
AIRPORT_215,40,45,45,65
AIRPORT_9,40,45,45,65
AIRPORT_2,40,45,45,65
AIRPORT_114,40,45,45,65
AIRPORT_140,40,45,45,65
AIRPORT_153,40,45,45,65
AIRPORT_154,40,45,45,65
AIRPORT_148,40,45,45,65
AIRPORT_143,40,45,45,65
AIRPORT_255,40,45,45,65
AIRPORT_122,40,45,45,65
AIRPORT_269,50,60,60,75
AIRPORT_300,40,45,45,65
AIRPORT_14,40,45,45,65
AIRPORT_45,45,50,50,70
AIRPORT_65,40,45,45,65
AIRPORT_75,40,45,45,65
AIRPORT_119,45,50,50,70
AIRPORT_103,40,45,45,65
AIRPORT_180,40,45,45,65
AIRPORT_191,40,45,45,65
AIRPORT_68,45,50,50,70
AIRPORT_228,45,50,50,70
AIRPORT_303,40,45,45,65
AIRPORT_302,40,45,45,65
