Departure Airport(起飞机场),Arrival Airport(降落机场),,,,
AIRPORT_61,AIRPORT_50,,,,
AIRPORT_196,AIRPORT_43,,,,
AIRPORT_43,AIRPORT_196,,,,
AIRPORT_35,AIRPORT_139,,,,
AIRPORT_139,AIRPORT_35,,,,
AIRPORT_98,AIRPORT_27,,,,
AIRPORT_27,AIRPORT_98,,,,
AIRPORT_35,AIRPORT_139,,,,
AIRPORT_139,AIRPORT_35,,,,
AIRPORT_98,AIRPORT_27,,,,
AIRPORT_27,AIRPORT_98,,,,
AIRPORT_35,AIRPORT_270,,,,
AIRPORT_270,AIRPORT_35,,,,
AIRPORT_247,AIRPORT_27,,,,
AIRPORT_27,AIRPORT_247,,,,
AIRPORT_284,AIRPORT_27,,,,
AIRPORT_27,AIRPORT_284,,,,
AIRPORT_57,AIRPORT_185,,,,
AIRPORT_185,AIRPORT_57,,,,
AIRPORT_57,AIRPORT_197,,,,
AIRPORT_197,AIRPORT_57,,,,
AIRPORT_57,AIRPORT_147,,,,
AIRPORT_147,AIRPORT_57,,,,
AIRPORT_57,AIRPORT_230,,,,
AIRPORT_230,AIRPORT_57,,,,
AIRPORT_196,AIRPORT_230,,,,
AIRPORT_230,AIRPORT_196,,,,
AIRPORT_50,AIRPORT_41,,,,
AIRPORT_41,AIRPORT_50,,,,
AIRPORT_35,AIRPORT_226,,,,
AIRPORT_226,AIRPORT_35,,,,
AIRPORT_57,AIRPORT_80,,,,
AIRPORT_80,AIRPORT_57,,,,
AIRPORT_57,AIRPORT_257,,,,
AIRPORT_257,AIRPORT_57,,,,
AIRPORT_228,AIRPORT_308,,,,
AIRPORT_308,AIRPORT_228,,,,
AIRPORT_44,AIRPORT_308,,,,
AIRPORT_308,AIRPORT_44,,,,
AIRPORT_214,AIRPORT_235,,,,
AIRPORT_235,AIRPORT_214,,,,
AIRPORT_35,AIRPORT_235,,,,
AIRPORT_235,AIRPORT_35,,,,
AIRPORT_107,AIRPORT_163,,,,
AIRPORT_163,AIRPORT_107,,,,
AIRPORT_57,AIRPORT_183,,,,
AIRPORT_183,AIRPORT_57,,,,
AIRPORT_50,AIRPORT_245,,,,
AIRPORT_245,AIRPORT_50,,,,
AIRPORT_57,AIRPORT_34,,,,
AIRPORT_34,AIRPORT_57,,,,
AIRPORT_57,AIRPORT_8,,,,
AIRPORT_8,AIRPORT_57,,,,

