"
Airport ID(机场ID)",TYPE_A,TYPE_B,TYPE_C,TYPE_D
AIRPORT_265,1,1,1,0
AIRPORT_263,1,1,1,1
AIRPORT_254,1,1,1,0
AIRPORT_282,1,1,1,0
AIRPORT_268,1,1,1,1
AIRPORT_26,1,1,1,0
AIRPORT_6,1,1,0,0
AIRPORT_81,1,1,1,0
AIRPORT_35,1,1,1,1
AIRPORT_108,1,1,1,0
AIRPORT_159,1,1,1,0
AIRPORT_196,1,1,1,1
AIRPORT_242,1,1,1,0
AIRPORT_315,1,1,1,0
AIRPORT_248,1,1,1,1
AIRPORT_312,1,1,0,0
AIRPORT_44,1,1,1,1
AIRPORT_283,1,1,1,0
AIRPORT_173,1,1,0,0
AIRPORT_117,1,0,0,0
AIRPORT_299,1,1,1,0
AIRPORT_98,1,1,1,1
AIRPORT_247,1,1,1,1
AIRPORT_71,1,1,1,0
AIRPORT_126,1,1,1,1
AIRPORT_129,1,1,0,0
AIRPORT_311,1,1,1,0
AIRPORT_95,1,0,0,0
AIRPORT_292,1,1,0,0
AIRPORT_290,1,1,1,1
AIRPORT_273,1,1,0,0
AIRPORT_313,1,1,1,0
AIRPORT_69,1,1,0,0
AIRPORT_67,1,0,0,0
AIRPORT_132,1,1,0,0
AIRPORT_167,1,1,0,0
AIRPORT_170,1,1,0,0
AIRPORT_150,1,1,1,1
AIRPORT_246,1,0,0,0
AIRPORT_252,1,0,0,0
AIRPORT_280,1,0,0,0
AIRPORT_310,1,1,0,0
AIRPORT_291,1,1,1,1
AIRPORT_59,1,1,1,0
AIRPORT_145,1,1,1,0
AIRPORT_73,1,1,1,0
AIRPORT_88,1,1,0,0
AIRPORT_86,1,1,1,0
AIRPORT_152,1,1,0,0
AIRPORT_107,1,1,1,1
AIRPORT_128,1,1,1,0
AIRPORT_136,1,1,1,0
AIRPORT_134,1,1,0,0
AIRPORT_258,1,1,1,1
AIRPORT_165,1,1,0,0
AIRPORT_174,1,1,1,0
AIRPORT_192,1,1,1,0
AIRPORT_195,1,1,1,1
AIRPORT_198,1,1,1,0
AIRPORT_106,1,1,1,1
AIRPORT_214,1,1,1,1
AIRPORT_250,1,1,1,1
AIRPORT_135,1,1,1,0
AIRPORT_218,1,1,1,0
AIRPORT_236,1,1,1,0
AIRPORT_227,1,1,1,0
AIRPORT_267,1,1,1,0
AIRPORT_279,1,1,0,0
AIRPORT_285,1,1,1,0
AIRPORT_284,0,1,0,0
AIRPORT_281,1,1,1,1
AIRPORT_293,1,1,1,0
AIRPORT_306,1,1,1,0
AIRPORT_298,1,1,0,0
AIRPORT_304,1,1,1,0
AIRPORT_301,1,1,0,0
AIRPORT_121,1,1,0,0
AIRPORT_50,1,1,1,1
AIRPORT_64,1,0,0,0
AIRPORT_63,1,0,0,0
AIRPORT_96,1,1,1,0
AIRPORT_158,1,1,1,0
AIRPORT_7,1,0,0,0
AIRPORT_138,1,0,0,0
AIRPORT_142,1,0,0,0
AIRPORT_171,1,0,0,1
AIRPORT_184,1,1,1,0
AIRPORT_177,1,0,0,0
AIRPORT_133,1,1,0,0
AIRPORT_253,1,1,0,0
AIRPORT_57,1,1,1,1
AIRPORT_286,1,1,1,0
AIRPORT_289,1,1,1,0
AIRPORT_295,1,0,0,0
AIRPORT_215,1,1,0,0
AIRPORT_2,1,1,0,0
AIRPORT_148,1,1,0,0
AIRPORT_143,1,1,1,1
AIRPORT_255,1,1,0,0
AIRPORT_269,1,1,0,1
AIRPORT_300,1,0,0,0
AIRPORT_14,1,1,0,0
AIRPORT_45,1,1,1,1
AIRPORT_65,1,1,0,0
AIRPORT_119,1,1,1,0
AIRPORT_103,1,1,0,0
AIRPORT_68,1,1,1,0
AIRPORT_228,1,1,1,1
AIRPORT_303,1,1,1,0
AIRPORT_302,1,1,1,0
